country,year,adj_svng_gn,country_id,domestic_credit_to_private,rule_of_law,gdp_pc,fdi_stock_tuorism,fdi_stock_manuf,adj_savings,fdi_manufacturing_gdp,fdi_tourism_gdp,trade_index,control_of_corruption,di_inward_stock_BDP
Czechia,1999,6.92912591422048,3,51.4686662083114,,5940,166.3,6758.35,6.93985624858718,11.063619419227,0.272238032865634,85.9992285782893,,28.6131504
Czechia,2000,6.30452764927165,3,44.9369292654829,100.63656681776,6530,72.62,8896.8700000000008,6.3479349162579704,13.2724776894106,0.108335552818575,98.0463388969232,0.146037667989731,34.7938828
Czechia,2001,6.98667398337093,3,37.1107266570148,,7400,219.39,11539.73,6.9952184788230101,15.2429746216258,0.289795012728935,99.0124561576286,,40.5747362
Czechia,2002,6.38644671139941,3,23.6649669154234,100.864072024822,8560,429.58,13086.51,6.3914990226620896,14.9802880153106,0.491745478788243,91.334650324677,0.358057916164398,42.2213369
Czechia,2003,5.36610799982752,3,24.3340775759602,100.871043801308,8690,307.05,15019.62,5.3692129901710803,16.9407809490034,0.346324793196598,94.9735288575829,0.489982098340988,40.4378326
Czechia,2004,6.72193198605487,3,25.6796961035747,100.78319978714,9460,397,16849.48,6.7548372070852798,17.4508166121912,0.411168427455322,113.488959982229,0.384490489959717,43.5351759
Czechia,2005,8.50918590004944,3,29.2242119478293,100.867527782917,10780,340.25,19592.32,8.4994036360045406,17.7592615244515,0.308416192349586,121.297960403591,0.480226010084152,46.6131305
Czechia,2006,9.00679316068815,3,33.84078931009,100.872643530369,12130,444.39,21879,9.0006282901552108,17.5620367268086,0.356707047901023,127.028381868435,0.350346773862839,48.6594199
Czechia,2007,10.6231018386031,3,38.6820115283378,100.905903339386,13470,449.78100000000001,28541.935000000001,10.624276746427,20.5334522909834,0.323578506674155,129.77901730598,0.321369081735611,54.918441
Czechia,2008,9.44444851159409,3,43.2270471893659,100.914493978024,15540,499.63,28124.15,9.4579524481695891,17.3536814507596,0.308290912373991,123.742499121909,0.343739986419678,50.1662736
Czechia,2009,4.73715074117909,3,44.976430840195,100.962592542171,14260,461.33600000000001,27441.761999999999,4.6952102270708496,18.3450752207694,0.308407441987467,112.797244532562,0.380892634391785,58.3811245
Czechia,2010,3.67276109950917,3,46.3307595789495,100.937226951122,15020,626.41600000000005,28715.677,3.7067970229079998,18.183591683875,0.396664608264198,128.028911534811,0.384590119123459,60.8865255
Czechia,2011,3.53937424357527,3,48.3228930835879,101.025034308434,15740,411.94600000000003,29497.552,3.6145565169243201,17.855419268234,0.249358609347377,137.862818884663,0.383604437112808,56.406137
Czechia,2012,5.00440518444481,3,49.4085468212571,101.028504133225,15470,379.78899999999999,34208.682000000001,5.0543517861342098,21.0401726331568,0.233590587447187,146.528856576028,0.310179650783539,63.6307996
Czechia,2013,4.79578856655082,3,50.6079084949808,101.030306339264,15170,351.30500000000001,31358.895,4.8524397150639604,19.6654902214959,0.220307030661081,146.42241704968,0.29933762550354,61.0244298
Czechia,2014,6.26798931730118,3,49.4567294568092,101.141128182411,15000,359.87,33457.663,6.2785764434659299,21.1997196436209,0.228023789591935,157.574982178056,0.430063664913177,63.4108516
